STATION_NAME	COAST	STATION_NAME_SHORT
"SLÄGGÖ"	"WEST"	"Släggö"
"Å17"	"WEST"	"Å17"
"N14 FALKENBERG"	"WEST"	"N14 Falkenberg"
"ANHOLT E"	"WEST"	"Anholt E"
"BY5 BORNHOLMSDJ"	"EAST"	"BY5"
"REF M1V1"	"EAST"	"REF M1V1"
"BY15 GOTLANDSDJ"	"EAST"	"BY15"
"BY2 ARKONA"	"EAST"	"BY2"
"BCS III-10"	"EAST"	"BCS III-10"
"BY39 ÖLANDS SÖDRA"	"EAST"	"BY39"
"BY29 / LL19"	"EAST"	"BY29"
"BY31 LANDSORTSDJ"	"EAST"	"BY31"
