"clean_names","name","AphiaID","HAB"
"Merismopedia_spp","Merismopedia",146545,FALSE
"Mesodinium_major","Mesodinium major",1476503,FALSE
"Mesodinium_rubrum","Mesodinium rubrum",232069,FALSE
"Mesodinium_spp","Mesodinium",179320,FALSE
"Mesodinium_spp2","Mesodinium",179320,FALSE
"Mesodinium_spp3","Mesodinium",179320,FALSE
"Monoraphidium_spp","Monoraphidium",160590,FALSE
"Mussel_larvae","Bivalvia",105,FALSE
"Navicula-like","Naviculaceae",149031,FALSE
"Nitzschia_frigida","Nitzschia frigida",175400,FALSE
"Nitzschia_paleacea","Nitzschia paleacea",609727,FALSE
"Nodularia_spumigena_coil","Nodularia spumigena",160566,TRUE
"Nodularia_spumigena_filament","Nodularia spumigena",160566,TRUE
"Octactis_speculum","Octactis speculum",1310442,FALSE
"Oocystis_spp","Oocystis",178611,FALSE
"Oscillatoriales","Oscillatoriales",146603,FALSE
"Oxytoxum_gracile","Oxytoxum gracile",233870,FALSE
"Paralia_sulcata","Paralia sulcata",149055,FALSE
"Pauliella_taeniata","Pauliella taeniata",163624,FALSE
"Pauliella_taeniata2","Pauliella taeniata",163624,FALSE
"Pauliella_taeniata3","Pauliella taeniata",163624,FALSE
"Pauliella_taeniata4","Pauliella taeniata",163624,FALSE
"Pauliella_taeniata5","Pauliella taeniata",163624,FALSE
"Pauliella_taeniata6","Pauliella taeniata",163624,FALSE
"Pennales_single","Pennales",1304629,FALSE
"Peridiniales","Peridiniales",109394,FALSE
"Peridiniella_catenata_chain","Peridiniella catenata",110156,FALSE
"Peridiniella_catenata_single","Peridiniella catenata",110156,FALSE
"Proboscia_alata","Proboscia alata",149168,FALSE
"Prorocentrum_cordatum","Prorocentrum cordatum",232376,TRUE
"Prorocentrum_micans","Prorocentrum micans",110303,FALSE
"Prorocentrum_micans_Prorocentrum_triestinum_Prorocentrum_gracile","Prorocentrum",109566,FALSE
"Prorocentrum_triestinum","Prorocentrum triestinum",110316,FALSE
"Protoperidinium_bipes","Protoperidinium bipes",110208,FALSE
"Pseudo-nitzschia_spp","Pseudo-nitzschia",149151,FALSE
"Pseudochattonella-like","Florenciellales incertae sedis",368900,FALSE
"Pseudopedinella-like","Actinomonadaceae",1652121,FALSE
"Pseudosolenia_calcar-avis","Pseudosolenia calcar-avis",163344,FALSE
"Pyramimonas_spp_large","Pyramimonas",134529,FALSE
"Pyramimonas_spp_small","Pyramimonas",134529,FALSE
"Rhizosolenia_imbricata","Rhizosolenia imbricata",149116,FALSE
"Rhizosolenia_spp","Rhizosolenia",149069,FALSE
"Scenedesmus_spp","Scenedesmus",160602,FALSE
"Scrippsiella_acuminata-like","Scrippsiella",109545,FALSE
"Scrippsiella_group","",NA,FALSE
"Skeletonema_spp","Skeletonema",149073,FALSE
"Snowella-Woronichinia2","Cyanophyceae",146542,FALSE
"Snowella_Woronichinia","Cyanophyceae",146542,FALSE
"Stephanopyxis-like","Stephanopyxidaceae",149254,FALSE
"Striatella_spp","Striatella",149176,FALSE
"Strombidium-like","Strombidiidae",1703,FALSE
"Sundstroemia_setigera","Sundstroemia setigera",1590706,FALSE
"Thalassionema_nitzschioides","Thalassionema nitzschioides",149093,FALSE
"Thalassiosira_angulata","Thalassiosira angulata",148913,FALSE
"Thalassiosira_anguste-lineata","Thalassiosira anguste-lineata",148914,FALSE
"Thalassiosira_gravida-like","Thalassiosira",148912,FALSE
"Thalassiosira_levanderi","Thalassiosira levanderi",149308,FALSE
"Thalassiosira_nordenskioeldii","Thalassiosira nordenskioeldii",148931,FALSE
"Thalassiosira_spp_chain","Thalassiosira",148912,FALSE
"Thalassiosira_spp_single","Thalassiosira",148912,FALSE
"Tintinnids","Tintinnida",425497,FALSE
"Torodinium_robustum","Torodinium robustum",109889,FALSE
"Trieres_mobiliensis","Trieres mobiliensis",839991,FALSE
"Tripos_furca","Tripos furca",840627,FALSE
"Tripos_fusus","Tripos fusus",840626,FALSE
"Tripos_lineatus","Tripos lineatus",837459,FALSE
"Tripos_longipes","Tripos longipes",841259,FALSE
"Tripos_muelleri","Tripos muelleri",495363,FALSE
"Unicells","Biota",1,FALSE
"Uroglenopsis_sp","Uroglenopsis",555950,FALSE
"Warnowia-like","Warnowiaceae",109415,FALSE
"Zooplankton","Crustacea",1066,FALSE
"mixed","",NA,FALSE
